,Count of Row Values
mths_since_last_major_derog,39717
annual_inc_joint,39717
dti_joint,39717
verification_status_joint,39717
tot_coll_amt,39717
tot_cur_bal,39717
open_acc_6m,39717
open_il_6m,39717
open_il_12m,39717
open_il_24m,39717
mths_since_rcnt_il,39717
total_bal_il,39717
il_util,39717
open_rv_12m,39717
open_rv_24m,39717
max_bal_bc,39717
all_util,39717
total_rev_hi_lim,39717
inq_fi,39717
total_cu_tl,39717
inq_last_12m,39717
acc_open_past_24mths,39717
avg_cur_bal,39717
bc_open_to_buy,39717
bc_util,39717
mo_sin_old_il_acct,39717
mo_sin_old_rev_tl_op,39717
mo_sin_rcnt_rev_tl_op,39717
mo_sin_rcnt_tl,39717
mort_acc,39717
mths_since_recent_bc,39717
mths_since_recent_bc_dlq,39717
mths_since_recent_inq,39717
mths_since_recent_revol_delinq,39717
num_accts_ever_120_pd,39717
num_actv_bc_tl,39717
num_actv_rev_tl,39717
num_bc_sats,39717
num_bc_tl,39717
num_il_tl,39717
num_op_rev_tl,39717
num_rev_accts,39717
num_rev_tl_bal_gt_0,39717
num_sats,39717
num_tl_120dpd_2m,39717
num_tl_30dpd,39717
num_tl_90g_dpd_24m,39717
num_tl_op_past_12m,39717
pct_tl_nvr_dlq,39717
percent_bc_gt_75,39717
tot_hi_cred_lim,39717
total_bal_ex_mort,39717
total_bc_limit,39717
total_il_high_credit_limit,39717
